id,oauth_id,name,password,email,type,secret,website,affiliation,country,bracket,hidden,banned,verified,team_id,created
1,,Herr Nicolai Schönland,,torben92@yahoo.de,admin,,,,,,True,False,False,,2019-05-21 08:12:53
2,,Adriana Peukert,,adlerdittmar@taesche.com,user,,,,,,True,False,False,,2019-05-21 08:12:53
3,,Dipl.-Ing. Holger Hamann B.A.,,schusteribrahim@yahoo.de,user,,,,,,False,False,False,,2019-11-20 16:02:49
4,,Dr. Tabea Trupp B.A.,,marie-thereswende@aol.de,user,,,,,,False,False,False,,2019-11-20 16:03:00
5,,Irmtraud Binner-Staude,,amelie32@eimer.net,user,,,,,,False,False,False,,2019-11-20 16:14:58
6,,Lene Weiß,,erdalmuehle@gmx.de,user,,,,,,False,False,False,,2019-11-20 16:15:02
7,,Esther Bauer,,fkreusel@web.de,user,,,,,,False,False,False,,2019-11-20 16:16:18
8,,Herr Bastian Renner,,bohnbachtoni@tlustek.de,user,,,,,,False,False,False,,2019-11-20 16:17:02
9,,Prof. Muzaffer Plath,,kuschhelma@weihmann.net,user,,,,,,False,False,False,,2019-11-20 16:23:59
10,,Tibor Holt,,dwieloch@loewer.de,user,,,,,,False,False,False,,2019-11-20 16:24:07
11,,Lilli Ruppert,,katharine27@bruder.net,user,,,,,,False,False,False,,2019-11-20 16:30:14
12,,Prof. Francis Herrmann B.A.,,annedoreseifert@gmail.com,user,,,,,,False,False,False,,2019-11-20 16:35:09
13,,Louise Graf,,sandorbeier@gmx.de,user,,,,,,False,False,False,,2019-11-20 16:35:09
14,,Dimitri Hendriks,,marekhartmann@googlemail.com,user,,,,,,False,False,False,,2019-11-20 16:39:03
15,,Annegrete Beyer,,ronnylosekann@seidel.com,user,,,,,,False,False,False,,2019-11-20 16:40:12
16,,Marco Ehlert,,handehans-helmut@aol.de,user,,,,,,False,False,False,,2019-11-20 16:40:12
17,,Hans-Gerhard Hecker,,bgeisel@hotmail.de,user,,,,,,False,False,False,,2019-11-20 16:42:18
18,,Sigfried Seifert MBA.,,retzold@hotmail.de,user,,,,,,False,False,False,,2019-11-20 16:46:08
19,,Johanne Grein Groth,,schinkebertold@web.de,user,,,,,,False,False,False,,2019-11-20 16:48:27
20,,Carolina Patberg,,bhuhn@yahoo.de,user,,,,,,False,False,False,,2019-11-20 16:50:36
21,,Ina Koch II,,hans-martinhertrampf@scholl.de,user,,,,,,False,False,False,,2019-11-20 16:51:57
22,,Univ.Prof. Leszek Striebitz B.A.,,ltrupp@jungfer.com,user,,,,,,False,False,False,,2019-11-20 16:53:12
23,,Leopold Gorlitz,,apieper@soeding.com,user,,,,,,False,False,False,,2019-11-20 17:07:19
24,,Hans Georg Wohlgemut,,rlangern@googlemail.com,user,,,,,,False,False,False,,2019-11-20 17:10:22
25,,Regina Mies-Wesack,,seipgitte@googlemail.com,user,,,,,,False,False,False,,2019-11-20 17:10:56
26,,Dr. Emilie Weinhold MBA.,,edithadler@meister.com,user,,,,,,False,False,False,,2019-11-20 17:16:53
27,,Angelo Hande-Nette,,eheinrich@ortmann.net,user,,,,,,False,False,False,,2019-11-20 17:20:12
28,,Eugenia Wohlgemut-Sölzer,,kreszenzschoenland@jacob.com,user,,,,,,False,False,False,,2019-11-20 17:22:03
29,,Dipl.-Ing. Goran Pieper B.Eng.,,jkambs@ziegert.com,user,,,,,,False,False,False,,2019-11-20 17:23:56
